AÑO,"MES","DEPARTAMENTO ","LUGAR DEL HECHO","ARMA EMPLEADA",EDAD DE LA VÍCTIMA,"SEXO DEL AUTOR 1","SEXO DEL AUTOR 2","EDAD DEL AUTOR 1","EDAD DEL AUTOR 2","VÍNCULO"
2017,"ENERO","CERRO LARGO","RESIDENCIA","ARMA DE FUEGO",73,"VARÓN","N/A","76","NULL","PAREJA / EXPAREJA"
2017,"ENERO","COLONIA","RESIDENCIA","ARMA CORTOPUNZANTE",25,"VARÓN","N/A","35","NULL","PAREJA / EXPAREJA"
2017,"ENERO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",29,"VARÓN","N/A","42","NULL","PAREJA / EXPAREJA"
2017,"ENERO","SAN JOSÉ","OTRO","FUERZA FÍSICA",28,"VARÓN","N/A","26","NULL","PAREJA / EXPAREJA"
2017,"FEBRERO","MONTEVIDEO","RESIDENCIA","OBJETO PESADO",42,"VARÓN","N/A","45","NULL","PAREJA / EXPAREJA"
2017,"FEBRERO","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",21,"VARÓN","VARÓN","17","20","PAREJA / EXPAREJA"
2017,"MARZO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",20,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2017,"ABRIL","TACUAREMBÓ","RESIDENCIA","ARMA CORTOPUNZANTE",43,"VARÓN","N/A","49","NULL","PAREJA / EXPAREJA"
2017,"MAYO","PAYSANDÚ","RESIDENCIA","ARMA CORTOPUNZANTE",71,"VARÓN","VARÓN","21","22","FAMILIAR"
2017,"MAYO","PAYSANDÚ","RESIDENCIA","ARMA CORTOPUNZANTE",91,"VARÓN","VARÓN","21","22","FAMILIAR"
2017,"MAYO","MONTEVIDEO","RESIDENCIA","OTROS CORTANTES",30,"VARÓN","N/A","32","NULL","FAMILIAR"
2017,"MAYO","RIVERA","RESIDENCIA","ARMA DE FUEGO",23,"VARÓN","N/A","28","NULL","PAREJA / EXPAREJA"
2017,"MAYO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",21,"VARÓN","N/A","33","NULL","PAREJA / EXPAREJA"
2017,"MAYO","CERRO LARGO","RESIDENCIA","ARMA DE FUEGO",71,"VARÓN","N/A","78","NULL","PAREJA / EXPAREJA"
2017,"MAYO","SAN JOSÉ","RESIDENCIA","ARMA DE FUEGO",60,"VARÓN","N/A","38","NULL","FAMILIAR"
2017,"JUNIO","FLORIDA","RESIDENCIA","OTROS CORTANTES",30,"VARÓN","N/A","26","NULL","PAREJA / EXPAREJA"
2017,"JUNIO","CANELONES","RESIDENCIA","FUERZA FÍSICA",40,"VARÓN","N/A","67","NULL","PAREJA / EXPAREJA"
2017,"JULIO","CERRO LARGO","RESIDENCIA","ARMA CORTOPUNZANTE",36,"VARÓN","N/A","35","NULL","PAREJA / EXPAREJA"
2017,"AGOSTO","SAN JOSÉ","RESIDENCIA","OBJETO PESADO",74,"VARÓN","N/A","63","NULL","PAREJA / EXPAREJA"
2017,"SEPTIEMBRE","MONTEVIDEO","RESIDENCIA","OTROS CORTANTES",52,"VARÓN","N/A","32","NULL","PAREJA / EXPAREJA"
2017,"OCTUBRE","ARTIGAS","RESIDENCIA","OTROS MEDIOS",24,"VARÓN","N/A","21","NULL","PAREJA / EXPAREJA"
2017,"OCTUBRE","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",40,"VARÓN","N/A","38","NULL","PAREJA / EXPAREJA"
2017,"OCTUBRE","PAYSANDÚ","RESIDENCIA","ARMA DE FUEGO",40,"VARÓN","N/A","44","NULL","PAREJA / EXPAREJA"
2017,"NOVIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",28,"VARÓN","N/A","30","NULL","PAREJA / EXPAREJA"
2017,"NOVIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",8,"VARÓN","N/A","30","NULL","FAMILIAR"
2017,"DICIEMBRE","SORIANO","OTRO","ARMA DE FUEGO",30,"VARÓN","N/A","62","NULL","PAREJA / EXPAREJA"
2017,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",20,"VARÓN","N/A","21","NULL","PAREJA / EXPAREJA"
2017,"DICIEMBRE","MALDONADO","RESIDENCIA","ARMA CORTOPUNZANTE",53,"VARÓN","N/A","49","NULL","PAREJA / EXPAREJA"
2017,"DICIEMBRE","MALDONADO","RESIDENCIA","FUERZA FÍSICA",51,"VARÓN","N/A","58","NULL","PAREJA / EXPAREJA"
2018,"ENERO","RIVERA","RESIDENCIA","ARMA DE FUEGO",65,"VARÓN","N/A","56","NULL","PAREJA / EXPAREJA"
2018,"FEBRERO","CERRO LARGO","VÍA PÚBLICA","ARMA DE FUEGO",29,"VARÓN","N/A","45","NULL","PAREJA / EXPAREJA"
2018,"FEBRERO","TREINTA Y TRES","RESIDENCIA","ARMA DE FUEGO",32,"VARÓN","N/A","30","NULL","PAREJA / EXPAREJA"
2018,"FEBRERO","TACUAREMBÓ","VÍA PÚBLICA","ARMA CORTOPUNZANTE",26,"VARÓN","N/A","49","NULL","FAMILIAR"
2018,"MARZO","SALTO","RESIDENCIA","ARMA DE FUEGO",45,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
2018,"MARZO","ROCHA","VÍA PÚBLICA","ARMA CORTOPUNZANTE",30,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2018,"MARZO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",86,"VARÓN","N/A","55","NULL","FAMILIAR"
2018,"MARZO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",51,"VARÓN","N/A","56","NULL","PAREJA / EXPAREJA"
2018,"MARZO","PAYSANDÚ","RESIDENCIA","ARMA DE FUEGO",41,"VARÓN","N/A","32","NULL","FAMILIAR"
2018,"ABRIL","DURAZNO","RESIDENCIA","ARMA CORTOPUNZANTE",41,"VARÓN","N/A","52","NULL","PAREJA / EXPAREJA"
2018,"ABRIL","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",96,"VARÓN","N/A","90","NULL","PAREJA / EXPAREJA"
2018,"ABRIL","COLONIA","RESIDENCIA","ARMA DE FUEGO",35,"VARÓN","N/A","47","NULL","PAREJA / EXPAREJA"
2018,"ABRIL","FLORIDA","VÍA PÚBLICA","ARMA DE FUEGO",35,"VARÓN","N/A","37","NULL","PAREJA / EXPAREJA"
2018,"MAYO","MONTEVIDEO","VÍA PÚBLICA","ARMA CORTOPUNZANTE",55,"VARÓN","N/A","59","NULL","PAREJA / EXPAREJA"
2018,"MAYO","CERRO LARGO","RESIDENCIA","ARMA DE FUEGO",42,"VARÓN","N/A","42","NULL","PAREJA / EXPAREJA"
2018,"MAYO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",52,"VARÓN","N/A","59","NULL","PAREJA / EXPAREJA"
2018,"MAYO","CERRO LARGO","RESIDENCIA","FUERZA FÍSICA",74,"VARÓN","N/A","49","NULL","PAREJA / EXPAREJA"
2018,"MAYO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",34,"MUJER","N/A","75","NULL","FAMILIAR"
2018,"JUNIO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",2,"VARÓN","N/A","24","NULL","FAMILIAR"
2018,"JULIO","RIVERA","VÍA PÚBLICA","FUERZA FÍSICA",46,"VARÓN","N/A","59","NULL","PAREJA / EXPAREJA"
2018,"JULIO","MALDONADO","RESIDENCIA","FUERZA FÍSICA",34,"VARÓN","N/A","NULL","NULL","PAREJA / EXPAREJA"
2018,"JULIO","MALDONADO","RESIDENCIA","OTROS MEDIOS",3,"MUJER","N/A","44","NULL","FAMILIAR"
2018,"JULIO","SAN JOSÉ","RESIDENCIA","FUERZA FÍSICA",73,"MUJER","N/A","42","NULL","FAMILIAR"
2018,"AGOSTO","CERRO LARGO","RESIDENCIA","FUERZA FÍSICA",60,"VARÓN","N/A","20","NULL","FAMILIAR"
2018,"SEPTIEMBRE","COLONIA","RESIDENCIA","ARMA CORTOPUNZANTE",39,"VARÓN","N/A","51","NULL","PAREJA / EXPAREJA"
2018,"SEPTIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",24,"VARÓN","N/A","27","NULL","PAREJA / EXPAREJA"
2018,"OCTUBRE","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",68,"VARÓN","N/A","78","NULL","PAREJA / EXPAREJA"
2018,"NOVIEMBRE","CERRO LARGO","RESIDENCIA","ARMA CORTOPUNZANTE",46,"VARÓN","N/A","58","NULL","PAREJA / EXPAREJA"
2018,"NOVIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",37,"VARÓN","N/A","21","NULL","PAREJA / EXPAREJA"
2018,"DICIEMBRE","FLORIDA","VÍA PÚBLICA","FUERZA FÍSICA",38,"VARÓN","N/A","54","NULL","PAREJA / EXPAREJA"
2018,"DICIEMBRE","RIVERA","OTRO","FUERZA FÍSICA",40,"VARÓN","N/A","32","NULL","PAREJA / EXPAREJA"
2018,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",24,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2018,"DICIEMBRE","SAN JOSÉ","VÍA PÚBLICA","ARMA CORTOPUNZANTE",38,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2018,"DICIEMBRE","DURAZNO","RESIDENCIA","SIN DATO",54,"VARÓN","N/A","46","NULL","PAREJA / EXPAREJA"
2019,"ENERO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",34,"VARÓN","N/A","52","NULL","PAREJA / EXPAREJA"
2019,"FEBRERO","SAN JOSÉ","VÍA PÚBLICA","FUERZA FÍSICA",61,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
2019,"FEBRERO","CANELONES","RESIDENCIA","OBJETO PESADO",87,"VARÓN","N/A","94","NULL","PAREJA / EXPAREJA"
2019,"MARZO","SAN JOSÉ","VÍA PÚBLICA","ARMA DE FUEGO",30,"VARÓN","N/A","45","NULL","PAREJA / EXPAREJA"
2019,"MARZO","ARTIGAS","RESIDENCIA","ARMA DE FUEGO",29,"VARÓN","N/A","38","NULL","PAREJA / EXPAREJA"
2019,"MARZO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",88,"VARÓN","N/A","88","NULL","PAREJA / EXPAREJA"
2019,"MARZO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",88,"MUJER","N/A","60","NULL","FAMILIAR"
2019,"ABRIL","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",85,"VARÓN","N/A","54","NULL","FAMILIAR"
2019,"MAYO","SAN JOSÉ","RESIDENCIA","ARMA DE FUEGO",17,"VARÓN","N/A","42","NULL","PAREJA / EXPAREJA"
2019,"JUNIO","FLORIDA","RESIDENCIA","SIN DATO",35,"VARÓN","N/A","34","NULL","PAREJA / EXPAREJA"
2019,"JUNIO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",55,"VARÓN","N/A","73","NULL","PAREJA / EXPAREJA"
2019,"JUNIO","ARTIGAS","RESIDENCIA","ARMA CORTOPUNZANTE",40,"VARÓN","N/A","34","NULL","PAREJA / EXPAREJA"
2019,"JULIO","RIVERA","RESIDENCIA","FUERZA FÍSICA",4,"VARÓN","N/A","31","NULL","FAMILIAR"
2019,"AGOSTO","ARTIGAS","VÍA PÚBLICA","ARMA CORTOPUNZANTE",42,"VARÓN","N/A","57","NULL","PAREJA / EXPAREJA"
2019,"AGOSTO","ROCHA","RESIDENCIA","SIN DATO",70,"VARÓN","N/A","37","NULL","PAREJA / EXPAREJA"
2019,"AGOSTO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",39,"VARÓN","N/A","51","NULL","PAREJA / EXPAREJA"
2019,"AGOSTO","TACUAREMBÓ","RESIDENCIA","FUERZA FÍSICA",14,"VARÓN","N/A","31","NULL","FAMILIAR"
2019,"SEPTIEMBRE","CERRO LARGO","VÍA PÚBLICA","FUERZA FÍSICA",19,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2019,"SEPTIEMBRE","FLORIDA","RESIDENCIA","OBJETO PESADO",49,"VARÓN","N/A","53","NULL","PAREJA / EXPAREJA"
2019,"OCTUBRE","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",28,"VARÓN","N/A","46","NULL","PAREJA / EXPAREJA"
2019,"OCTUBRE","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",29,"VARÓN","N/A","54","NULL","PAREJA / EXPAREJA"
2019,"NOVIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",27,"VARÓN","N/A","41","NULL","PAREJA / EXPAREJA"
2019,"NOVIEMBRE","FLORIDA","RESIDENCIA","OBJETO PESADO",22,"VARÓN","N/A","20","NULL","PAREJA / EXPAREJA"
2019,"NOVIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",27,"VARÓN","N/A","52","NULL","PAREJA / EXPAREJA"
